order_item_id,order_id,product_id,quantity,unit_price
1,ORD10000,PROD108,3,229
2,ORD10001,PROD103,4,59
3,ORD10002,PROD111,2,59
4,ORD10003,PROD107,4,399
5,ORD10004,PROD105,1,110
6,ORD10005,PROD108,5,229
7,ORD10006,PROD106,1,99
8,ORD10007,PROD103,2,59
9,ORD10008,PROD102,5,199
10,ORD10009,PROD107,4,399
11,ORD10010,PROD107,4,399
12,ORD10011,PROD113,2,149
13,ORD10012,PROD109,1,129
14,ORD10013,PROD100,2,999
15,ORD10014,PROD112,4,199
16,ORD10015,PROD105,1,110
17,ORD10016,PROD109,5,129
18,ORD10017,PROD113,2,149
19,ORD10018,PROD110,1,80
20,ORD10019,PROD108,3,229
21,ORD10020,PROD112,4,199
22,ORD10021,PROD112,5,199
23,ORD10022,PROD104,4,120
24,ORD10023,PROD109,2,129
25,ORD10024,PROD100,2,999
26,ORD10025,PROD105,3,110
27,ORD10026,PROD109,1,129
28,ORD10027,PROD101,3,899
29,ORD10028,PROD108,5,229
30,ORD10029,PROD102,5,199
31,ORD10030,PROD101,1,899
32,ORD10031,PROD107,4,399
33,ORD10032,PROD105,4,110
34,ORD10033,PROD109,3,129
35,ORD10034,PROD101,4,899
36,ORD10035,PROD113,3,149
37,ORD10036,PROD102,1,199
38,ORD10037,PROD100,2,999
39,ORD10038,PROD100,4,999
40,ORD10039,PROD104,3,120
41,ORD10040,PROD103,5,59
42,ORD10041,PROD109,4,129
43,ORD10042,PROD106,2,99
44,ORD10043,PROD108,4,229
45,ORD10044,PROD103,1,59
46,ORD10045,PROD112,1,199
47,ORD10046,PROD101,1,899
48,ORD10047,PROD112,3,199
49,ORD10048,PROD110,1,80
50,ORD10049,PROD103,2,59
51,ORD10050,PROD107,5,399
52,ORD10051,PROD108,2,229
53,ORD10052,PROD108,1,229
54,ORD10053,PROD111,5,59
55,ORD10054,PROD102,5,199
56,ORD10055,PROD100,5,999
57,ORD10056,PROD112,2,199
58,ORD10057,PROD108,2,229
59,ORD10058,PROD105,4,110
60,ORD10059,PROD100,2,999
61,ORD10060,PROD107,3,399
62,ORD10061,PROD112,4,199
63,ORD10062,PROD110,1,80
64,ORD10063,PROD114,2,25
65,ORD10064,PROD102,3,199
66,ORD10065,PROD106,1,99
67,ORD10066,PROD105,4,110
68,ORD10067,PROD113,2,149
69,ORD10068,PROD113,5,149
70,ORD10069,PROD103,2,59
71,ORD10070,PROD105,3,110
72,ORD10071,PROD113,3,149
73,ORD10072,PROD106,4,99
74,ORD10073,PROD102,3,199
75,ORD10074,PROD105,5,110
76,ORD10075,PROD112,1,199
77,ORD10076,PROD105,2,110
78,ORD10077,PROD103,3,59
79,ORD10078,PROD103,3,59
80,ORD10079,PROD108,3,229
81,ORD10080,PROD111,5,59
82,ORD10081,PROD109,4,129
83,ORD10082,PROD108,2,229
84,ORD10083,PROD104,2,120
85,ORD10084,PROD103,2,59
86,ORD10085,PROD101,2,899
87,ORD10086,PROD109,4,129
88,ORD10087,PROD101,4,899
89,ORD10088,PROD104,2,120
90,ORD10089,PROD113,3,149
91,ORD10090,PROD102,2,199
92,ORD10091,PROD102,5,199
93,ORD10092,PROD114,4,25
94,ORD10093,PROD113,2,149
95,ORD10094,PROD104,3,120
96,ORD10095,PROD105,3,110
97,ORD10096,PROD114,2,25
98,ORD10097,PROD103,1,59
99,ORD10098,PROD101,5,899
100,ORD10099,PROD110,1,80
101,ORD10100,PROD107,2,399
102,ORD10101,PROD107,1,399
103,ORD10102,PROD112,1,199
104,ORD10103,PROD111,2,59
105,ORD10104,PROD104,5,120
106,ORD10105,PROD108,1,229
107,ORD10106,PROD114,4,25
108,ORD10107,PROD103,4,59
109,ORD10108,PROD114,1,25
110,ORD10109,PROD110,2,80
111,ORD10110,PROD101,5,899
112,ORD10111,PROD103,4,59
113,ORD10112,PROD102,1,199
114,ORD10113,PROD103,3,59
115,ORD10114,PROD108,2,229
116,ORD10115,PROD114,2,25
117,ORD10116,PROD110,1,80
118,ORD10117,PROD112,2,199
119,ORD10118,PROD101,1,899
120,ORD10119,PROD113,3,149
121,ORD10120,PROD103,4,59
122,ORD10121,PROD110,3,80
123,ORD10122,PROD104,3,120
124,ORD10123,PROD101,1,899
125,ORD10124,PROD110,1,80
126,ORD10125,PROD105,2,110
127,ORD10126,PROD102,4,199
128,ORD10127,PROD100,4,999
129,ORD10128,PROD100,1,999
130,ORD10129,PROD100,3,999
131,ORD10130,PROD101,5,899
132,ORD10131,PROD105,2,110
133,ORD10132,PROD103,2,59
134,ORD10133,PROD102,5,199
135,ORD10134,PROD107,3,399
136,ORD10135,PROD112,2,199
137,ORD10136,PROD112,4,199
138,ORD10137,PROD108,1,229
139,ORD10138,PROD100,5,999
