review_id,product_id,customer_id,rating,review_text,review_date
REV20000,PROD108,CUST2353,2,good,2025-06-06
REV20001,PROD103,CUST4463,2,average,2023-08-05
REV20002,PROD111,CUST4512,5,good,2023-01-03
REV20003,PROD107,CUST5711,2,very good,2023-03-14
REV20004,PROD105,CUST1296,1,very good,2023-10-18
REV20005,PROD108,CUST2790,3,very good,2023-02-14
REV20006,PROD106,CUST2442,4,very good,2023-12-29
REV20007,PROD103,CUST2451,1,very good,2025-06-02
REV20008,PROD102,CUST2364,3,bad,2024-06-10
REV20009,PROD107,CUST4713,5,very good,2024-12-03
REV20010,PROD107,CUST1469,2,very good,2025-07-18
REV20011,PROD113,CUST5953,4,good,2025-04-26
REV20012,PROD109,CUST1438,1,very bad,2024-12-28
REV20013,PROD100,CUST2488,1,very good,2023-12-26
REV20014,PROD112,CUST1413,3,very bad,2024-09-11
REV20015,PROD105,CUST2160,3,bad,2025-01-28
REV20016,PROD109,CUST3830,1,good,2024-11-20
REV20017,PROD113,CUST4174,2,good,2023-10-25
REV20018,PROD110,CUST3281,1,very bad,2022-09-09
REV20019,PROD108,CUST3410,4,bad,2024-10-05
REV20020,PROD112,CUST3147,4,bad,2024-07-27
REV20021,PROD112,CUST4051,1,bad,2023-04-22
REV20022,PROD104,CUST1089,1,average,2024-02-07
REV20023,PROD109,CUST2314,1,good,2024-11-06
REV20024,PROD100,CUST5205,5,very bad,2024-11-08
REV20025,PROD105,CUST2997,2,average,2023-06-05
REV20026,PROD109,CUST2945,4,average,2024-03-10
REV20027,PROD101,CUST3650,4,good,2023-05-03
REV20028,PROD108,CUST5755,2,very good,2024-01-16
REV20029,PROD102,CUST2895,5,very good,2024-12-04
REV20030,PROD101,CUST3589,2,very bad,2025-02-03
REV20031,PROD107,CUST5161,4,bad,2025-06-07
REV20032,PROD105,CUST2370,1,very good,2024-11-12
REV20033,PROD109,CUST4430,5,very bad,2024-10-07
REV20034,PROD101,CUST3021,3,good,2022-10-05
REV20035,PROD113,CUST1182,5,average,2024-02-20
REV20036,PROD102,CUST4791,3,good,2023-10-24
REV20037,PROD100,CUST3310,1,bad,2024-12-26
REV20038,PROD100,CUST3661,2,very good,2023-08-27
REV20039,PROD104,CUST1500,1,good,2024-12-08
REV20040,PROD103,CUST5684,2,good,2023-09-17
REV20041,PROD109,CUST1186,4,very bad,2024-10-26
REV20042,PROD106,CUST1241,5,bad,2025-05-29
REV20043,PROD108,CUST4082,1,very good,2023-08-17
REV20044,PROD103,CUST3728,2,good,2024-10-13
REV20045,PROD112,CUST1742,1,average,2024-06-08
REV20046,PROD101,CUST3349,4,good,2024-10-19
REV20047,PROD112,CUST4751,1,average,2024-12-07
REV20048,PROD110,CUST2954,3,very good,2025-04-30
REV20049,PROD103,CUST4905,3,very bad,2024-05-05
REV20050,PROD107,CUST4613,4,bad,2024-02-26
REV20051,PROD108,CUST1209,3,good,2023-04-19
REV20052,PROD108,CUST5685,3,bad,2023-08-23
REV20053,PROD111,CUST2016,2,very bad,2025-01-03
REV20054,PROD102,CUST5282,3,bad,2023-03-13
REV20055,PROD100,CUST5144,3,good,2024-05-03
REV20056,PROD112,CUST2871,3,average,2024-12-01
REV20057,PROD108,CUST4853,3,very bad,2023-07-10
REV20058,PROD105,CUST3810,2,very bad,2025-07-24
REV20059,PROD100,CUST4294,3,very good,2022-11-21
REV20060,PROD107,CUST3033,1,very bad,2024-07-31
REV20061,PROD112,CUST3784,5,good,2024-01-21
REV20062,PROD110,CUST2808,5,very good,2022-12-29
REV20063,PROD114,CUST2357,1,bad,2022-09-23
REV20064,PROD102,CUST2617,2,very bad,2024-05-02
REV20065,PROD106,CUST4265,5,very good,2025-05-11
REV20066,PROD105,CUST3414,1,average,2024-06-20
REV20067,PROD113,CUST3933,2,very good,2023-05-14
REV20068,PROD113,CUST3963,1,good,2025-03-11
REV20069,PROD103,CUST3029,2,very good,2024-06-09
REV20070,PROD105,CUST2383,2,very good,2024-02-12
REV20071,PROD113,CUST1138,3,good,2022-11-17
REV20072,PROD106,CUST4400,3,bad,2024-12-26
REV20073,PROD102,CUST1693,1,bad,2024-11-13
REV20074,PROD105,CUST1371,4,very good,2022-12-07
REV20075,PROD112,CUST5445,1,good,2025-06-26
REV20076,PROD105,CUST1539,3,very bad,2024-04-18
REV20077,PROD103,CUST1892,5,average,2023-04-15
REV20078,PROD103,CUST5088,2,very good,2023-08-11
REV20079,PROD108,CUST3422,4,good,2024-07-14
REV20080,PROD111,CUST2079,5,very good,2023-11-19
REV20081,PROD109,CUST1624,4,average,2024-07-24
REV20082,PROD108,CUST4048,3,bad,2023-06-13
REV20083,PROD104,CUST2089,1,good,2023-01-18
REV20084,PROD103,CUST4354,1,very bad,2025-03-27
REV20085,PROD101,CUST5300,1,good,2025-08-01
REV20086,PROD109,CUST3660,3,good,2024-09-15
REV20087,PROD101,CUST5297,2,average,2024-09-19
REV20088,PROD104,CUST4458,3,good,2025-05-02
